,Location_of_Death
Around the borders of Egypt and Sudan near to Aswan,1
"Between Shagaraab camp and Khartoum, Sudan",1
"In the desert, near Berber, Sudan",1
"In the desert, near Atbara, Sudan",1
"In the Sahara desert, between Khartoum and Wadi Halfa, Sudan",1
"Body recovered from shores near Sabratha, Libya",1
"In the Sahara desert in a mountain cave, between Atbara, Sudan and Aswan, Egypt",1
"Bodies recovered on the shores of Zuwara, Libya",1
"Rio Bravo, Puente Internacional Los Tomates, Matamoros, Tamaulipas, Mexico",1
"Rio Bravo, Ejido El GuerreÃ±o, Reynosa, Tamaulipas, Mexico",1
"Between Al Qadarif and Wad Madani, Sudan",1
"Qena, Egypt",1
30-40 nautical miles off off the coast of Libya,1
"Bodies found on the coast of Algeciras and Tarifa, Spain",1
"Body recovered 35 nautical miles east of Ceuta, Spain",1
"Cambo ashera, Eritrea",1
"Near Evros River, Feres, Greece",1
"On border crossing in the small village, Near Karima, Sudan",1
"Mukai area, Dajabon, Dominican Republic",1
"Sistan and Baluchestan province, Iran",1
"Body found on Klima Beach, Samos, Greece",1
"Rio Bravo, near ejido ProlongaciÃ³n ArgÃ¼elles, Reynosa, Tamaulipas, Mexico",1
In the Sahara desert around the border of Egypt-Sudan ,1
"Rio Grande, El progreso, Nuevo Laredo, Tamaulipas, Mexico",1
"La Parrada Ranch, Brooks County, Texas",1
"RÃ­o Bravo, Col del RÃ­o, 88580 Reynosa, Tamaulipas, Mexico",1
"Border of Sudan, near Teseney, Eritrea",1
"In the Sahara desert and ajdabiya, Libya",1
"In the Sahara desert between Ajdabiya and Tripoli, Libya",1
"Rio Bravo, Colonia Viveros, 88070 Nuevo Laredo, Tamaulipas, Mexico",1
"Homip, Near Forto sawa, Eritrea",1
"Bodies recovered 70 km east of Tripoli, Libya",1
"near Pirot in the Serbian-Bulgarian border, Serbia",1
"A16 motorway near Grande-Synthe, Dunkirk, France",1
"Rio Bravo, Reynosa - DÃ­az, Tamaulipas, Mexico",1
"Los Compadres Ranch, Brooks County, Texas",1
Unspecified location in Red Sea between Yemen and Sudan,1
"Unspecified location in the Gulf of Aden near the coast of Shabwa, Yemen",1
"Unspecified location off the coast of Zuwara, Libya",1
"Unspecified location off the coast of Az Zawiyah, Libya",1
"Mountain trail in France between Grimaldi, Ventimiglia, Italy and Menton, France",1
"Unspecified location off the coast of Davutlar, Aydin, TÃ¼rkiye, likely en route to Samos, Greece",1
"11 nautical miles south of CÃ¡diz, Spain",1
"Body recovered from the shores of Sabratha, Libya",1
On board of the Aquarius rescue boat after having been rescued from a sinking boat off the coast of Libya,1
Unspecified location north of Libya,1
"Sahara Desert, between Niger and Sabha, Libya",1
"Rio Bravo, near El Patinadero, Nuevo Laredo, Tamaulipas, Mexico",1
"Body recovered near Panagiouda, Lesbos, Greece",1
"Body recovered near Sabratha, Libya",1
Unspecified location in the Strait of Sicily,1
"Near AlborÃ¡n, Spain",1
"Rio Bravo, near Reynosa, Tamaulipas, Mexico",1
"Body found in the coast of BenzÃº, Ceuta, Spain, near the border with Belyounech, Morocco",1
"Off the coast of Qarabulli, Libya",1
"West Ranch, Brooks County, Texas",1
"Rio Bravo, Puente Internacional III del Comercio Mundial, Nuevo Laredo, Tamaulipas, Mexico",1
"Rio Bravo, Nueva Ciudad Guerrero, Tamaulipas, Mexico",1
"Body recovered from Sabratha, Libya",1
"Bodies recovered on Tallil Seyahi Beach, near Sabratha, Libya",1
"Bodies recovered on the coast of Al Khums, Libya",1
"Highway 10, between Demming and Lordburg, New Mexico",1
"At sea, near Sana'a, Yemen",1
"Around border crossing area in the Sahara desert near to Aswan, Egypt",1
"In the Desert, near Khartoum, Sudan",1
"around Khartoum, Sudan",1
"In the desert on a small cave, Between Karima and Aswan, Egypt",1
"Gibraltar Strait, near Tangier, Morocco",1
"Near Euphrates River, eastern TÃ¼rkiye",1
"In the Sahara desert, around Karima, Sudan",1
"Near Costa Esmeralda Beach in Miches, El Seibo province, Dominican Republic",1
"Maritsa River, near Ä°psala, TÃ¼rkiye and Greece border",1
"RÃ­o Bravo, Puente Internacional 1, near Colonia Morelos, Piedras Negras, Coahuila, Mexico",1
"Port of Ceuta, Spain ",1
"Zahedan, Sistan and Baluchestan province, Iran",1
"Az-Zawiyah, Libya",1
"Body recovered near Cadiz, Spain",1
"Near Bani Walid, Libya",1
"RÃ­o Bravo, near KM 10 National Highway, Nuevo Laredo, Tamaulipas, Mexico",1
"Unspecfied location, Libya",1
"GarcÃ­a Ranch, Brooks County, Texas",1
"Punta Carnero, near Algeciras, Spain",1
"Near Punta Camarinal, Tarifa, Spain",1
"Body retrieved in Playa Camposoto, San Fernando, CÃ¡diz",1
"Rescue boat, unspecified location between North Africa and Catania, Italy",1
"Rio Bravo, Near Internacional Reynosa-Hidalgo Bridge, Reynosa, Tamaulipas, Mexico",1
"Mountain forest, Strandzha Region, Bulgaria",1
"Near Didimoteicho, Greece",1
"DariÃ©n gap, ChocÃ³, Colombia",1
"14 km east of Thassos, Greece",1
"Rio Grande, near Piedras Negras, Mexico",1
"One was at Kabish, Sudan and the other was in the small cave in the Sahra desert",1
"In the Sahara Desert in Aswan, Egypt",1
"Sennar, Sudan",1
"Asyut, Egypt",1
"Boat arrived to Guehere, near Obock, Djibouti",1
"Desert in Ash Shimalia Province, Sudan",1
"RÃ­o Bravo, Reynosa, Tamaulipas, Mexico",1
"La ProvenÃ§ale, A8 motorway, France",1
"RÃ­o Bravo, Las Dos Cruces Farm in Presidentes colony, Piedras Negras, Mexico",1
"Rio Grande near World Trade International Bridge, Nuevo Laredo, Tamaulipas, Mexico",1
25 nautical miles from the Libyan coast,1
"Died in hospital in Sicily, Italy",1
"26 miles east of Tripoli, Libya",1
"Outside of Calais, France",1
25 miles off the coast of Libya,1
At the border of Eritrea and Sudan,1
"Died upon arrival to port of Karlovasi, Samos, Greece. Shipwreck occurred at unspecified location between TÃ¼rkiye and Samos. ",1
"Unspecified location northwest of Khoms, Libya",1
"Mountain cave in the desert, Sudan",1
"In the desert around Asyut, Egypt",1
"Sinnar, Sudan",1
Desert of Aswan on border of Sudan and Egypt,1
"Around abu hamad in the desert, Sudan",1
"RÃ­o Grande, Nuevo Laredo, Tamaulipas, Mexico",1
"40 miles northeast of Tripoli, Libya",1
"Norrent-Fontes Migrant camp, BÃ©thune, France ",1
"Remains found in lorry near Ashford, Kent, UK",1
"Nyali, Sudan",1
"Sahara Desert, between Misurata and Subratah, Libya",1
Unspecified location at least 12 km from Libyan coast,1
"Boats sank off the coast of Garabulli, Libya",1
"Boats sank off the coast of Sabratha, Libya",1
"Body found on Avlaki beach on Ikaria, Greece",1
"Al Fashir, Sudan",1
Unspecified waters between Libya and Italy,1
"Bodies recovered from boat near Obock, Djibouti",1
"Body found on beach in Kusadasi's Kadinlar Denizi neighborhood, TÃ¼rkiye. Presumed en route to Samos, Greece.",1
"A16 Motorway through Chunnel Tunnel, near Calais, France",1
"Ventimiglia, A10 motorway from Liguria to France, Italy",1
"Gallabat, Sudan",1
"Abri, Sudan",1
"Al Damar, Sudan",1
"Rio Grande, near the agricultural land (ejido) El Centinela de Piedras Negras, Mexico",1
"Unspecified location off the coast of Ceuta, Spain",1
"Decomposed corpse found in Evros River near Soufli, Greece border with TÃ¼rkiye",1
"Rio Grande near Cuidad AcuÃ±a, Coahuila, Mexico",1
"On train tracks in Loon-Plage, near Calais, France",1
"Sahara desert near to Aswan, Egypt",1
"Sahara desert between Atbara, Sudan and Aswan, Egypt",1
"Near Tesseney, Eritrea, at border with Sudan",1
"Molki, Eritrea",1
"Near Karora, Eritrea",1
In the Sahara Desert near Egypt-Sudan border,1
"at the the border with Sudan, near Haikota, Eritrea ",1
"Body recovered from shores near Tajoura, Libya",1
"Unspecified location off the coast of Didim, Aydin, TÃ¼rkiye. Likely en route to Farmakonisi, Greece.",1
"En route to Aswan, Egypt in the desert of Sudan ",1
"In the desert, Egypt",1
"In the desert after crossing Atbara, Sudan",1
Waters between Cuba and Florida,1
"Libyan desert, between Sabha and Tripoli",1
"at Sahra desert in a mountain cave, between Atbara, Sudan and Aswan, Egypt",1
" In  mountain cave in Sahara desert between Atbara, Sudan and Aswan, Egypt",1
"In the desert, Aswan, Egypt",1
"In the desert, between Berber and Wadi halfa, Sudan",1
"Off the coast of Ayvalik, TÃ¼rkiye. Likely en route to Lesvos, Greece.",1
Sahara Desert crossing,1
"In the Libyan desert, near Kufra, Libya",1
"In the Sahara desert, near Atbara, Sudan",1
"Broken Bows Ranch, Eagle Pass, Maverick County, Texas",1
"Ventimiglia-Menton train line, Italy",1
"Port of Dunkirk, France",1
"Between Amoda and Derbasia, Syria, near border with TÃ¼rkiye",1
Hills on Serbia-Bulgaria border,1
"Rio Grande, Planta de Potabilidad Sur, Nuevo Laredo, Tamaulipas, Mexico",1
"Nis-Belgrade highway, near Drazevac, Serbia",1
"Bodies recovered near Zarzia or Ben Gardane, Tunisia",1
"Unspecifed location, Libya",1
"Remains recovered in lorry near Dunkirk, France",1
Border fence between Morocco and Ceuta,1
"Near Ravadinovo, Bulgaria",1
"Telaka Asher, Near Teseney, Eritrea",1
"Bodies washed up near Az Zuwiyah, Libya",1
"In the Sahara desert, after Berber, Sudan",1
"Almadraba, Off the coast of Ceuta, Spain",1
"At the desert, after crossing  khartoum, Sudan",1
"In the desert, around Dongola, Sudan",1
"At the border between Eritrea and Ethiopia, Near guna guna",1
"At the desert, after khartoum, Sudan",1
"In the desert, around Abu Hamad, Sudan",1
"RÃ­o Bravo, Puente Internacional Uno, Piedras Negras, Coahuila, Mexico",1
"Central Belgrade, Serbia",1
"Roya River, Ventimiglia, Italy",1
Abandoned industrial complex in northwestern Bulgaria,1
"Woods near Adasevci transit reception center, in northwestern Serbia",1
Unspecifed location between Libya and Italy,1
Unspecifed location between Libya and Malta,1
"At the border of Eritrea and Sudan, Near Teseney, Eritrea",1
"in the Sahra desert around Aswan, Egypt",1
"Off the coast of Al Hudaydah, Yemen",1
"20km east of Tripoli, Libya",1
"Outside of Harem, Idlib, Syria, near Turkish border",1
"Unspecified location in northern Syria, near Turkish border",1
"Cala Bonita, Off the coast of Al-Hoceima, Morocco",1
"Shendi, Sudan",1
"In the desert around Abu Hamad, Sudan",1
In the desert of siena around Sudan-Egypt border,1
"Body washed up to Zarzis, Tunisia",1
"Bodies washed up near El Ketef port, Bengardane, Tunisia",1
"In the Sahara desert near Abusanbal Abu Simbel, Egypt",1
"near the coast of Sabantha, 65km west of Triopli",1
"Rescued by a commercial ship in the Maltese SAR zone, transferred to the Libyan Coast Guard and disembarked in Tripoli, Libya",1
"M5 near border crossing at Roezke, Hungary",1
"Off the coast of the province of Canakkale, northwestern TÃ¼rkiye, en route to Lesvos",1
"Rio Grande River near the City of Eagle Pass, Texas International Bridge No. 1. Recovered by Mexican authorities at in Coahuila.Â ",1
"Sahara Desert, beween Sudan and Libya",1
"Found on arrival in Folkestone, on British side of Eurotunnel",1
"A16 motorway, Northern France, near Channel Tunnel",1
"Calais, France Eurotunnel site",1
"Between Ajdabiya and Tripoli, Libya",1
"Sahara Desert, between Hagas, Sudan and Shaidi, Libya",1
Near Ceuta,1
On board a boat from Melilla to the mainland Almeria,1
"About 16 miles north of Libya, in the Channel of Sicily",1
"US-Mexico border (Texas (?), county unknown)",1
"Syrian/Turkish border near Khirbet Jouz, Idlib, Syria",1
"Rio Bravo, near Ejido Las Calabazas, Tamaulipas, Mexican side (probably)",1
About 34 kilometers off the Libyan coast,1
"Off the coast of Calabria, Italy",1
"at the foot of a cliff on coast of Kos, Greece",1
"Rio Bravo, near McAllen, Texas",1
Turkish waters (en route to TÃ¼rkiye from Lebanon) - non-island destination,1
Between TÃ¼rkiye and Kos,1
In northern Sudan,1
"Sahara Desert, close to Metama, Ethiopia",1
"Sudan border near Aswan, Egypt",1
Off the Coast of Lesvos,1
Off the Coast of Tunisia,1
"Tajoura, 10 km east of Tripoli, Libya",1
"Calais-Eurotunnel, France",1
Unspecified location off of the coast of Libya en route to Italy,1
"Off the Tunisian coast, close to the city of Kelef.",1
"Off the coast of Beheiraâs Edku city, Egypt",1
Various - Central Med (off Libya),1
Between Libya and Italy/Malta. Rescued by Maltese ship,1
Sudan,1
"All American Canal, Calexico CA",1
Unknown - Central Med,1
"Teboulba, Tunisia",1
"off coast of Kafr el-Sheikh, Egypt",1
"Rocks near the port of Melilla, Spain",1
"A16 Highway at the entrance to the Eurotunnel, France",1
"Sahara Desert, between Yantala, Niger and Tripoli, Libya",1
"Sahara Desert, between Niamey, Niger and Tripoli, Libya",1
"Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.",1
"Near Dirkou, northeast of Agadez, Niger",1
"Rio Bravo, (Chihuahua?), Mexico",1
"3.2 kilometers from the resort city of Bodrum, near Kara Ada, en route to Kos",1
Unspecified location between Egypt and Italy,1
"A16 between Calais and Marck, France",1
"Imperial County, CA",1
"Sahara Desert between Niamey, Niger and Subratah, Libya",1
Sudanese border with Libya,1
"Off the coast of Ben Guerdane, southern Tunisia",1
"Rio Grande, near recreation centre La Playita, Reynosa, Tamaulipas, Mexico",1
Between the Greek islands of Farmakonisi and Agathonisi,1
About 40 miles north of Libya,1
"Remains found on caoast of Lesvos, Greece",1
Between TÃ¼rkiye and Lesvos,1
"30 miles from Mortril, Granada, Spain",1
Libyan waters,1
"Canakkale/Babakale, TÃ¼rkiye, en route to Lesvos",1
"Near to Aswan in Sahara Desert, Egypt",1
body found by a fisherman at Mithimna port in Lesvos,1
"body found by native of Agathonisi island, Hellenic Coast guard report",1
"Channel Tunnel (entrance at Calais), France",1
"Turkish waters, 3 kilometers west of the mainland. Set off from Bodrum for the Greek island of Leros",1
Trying to reach Mayotte from Comoros,1
"In a truck in Calais port, France",1
"Enez district, Edirne province, TÃ¼rkiye - non-island destination",1
Coast of Kalymnos,1
Kos Island washed up,1
"85 bodies found in Tripoli and 10 near Sabratha, Libya",1
"highway near near Presevo, Serbia",1
"Sudan desert after passing through Khartoum,Sudan",1
"Yurobiyana, Libya",1
"Sahara, Simrata, Kufra, Libya",1
"Shagarab, Libya",1
"Near El Indio in Del Rio Border Patrol Sector, Texas",1
"Mountainous area northwest of the capital of Santo Domingo, Dominican Republic",1
"Libya desert (Kufrah suburb), Libya",1
"Sahara Desert, Sudan ",1
waters near Spanish-Moroccan border,1
off the Egyptian port of Baltim,1
"Barak alshadi' (Brak, Wadi al Shatii), Libya",1
"Sabha Desert, Libya",1
"Between Kufrah and Tripoli, Libya",1
In Egypt-Sudan border,1
"Halaib washalatin, Between Egypt and Sudan",1
"train tracks near the village of Petrades, near the Turkish border in Greece.",1
"Off the coast of Symi, Greece",1
"Khoms, near Tripoli, Libya",1
"Mobile Unit of the First Reception Service in Moria, Lesvos",1
"Rocks near Santa Catalina, Ceuta, Spain",1
River between Greece and FYROM,1
30 miles off the coast of Libya,1
off the coast of Chios,1
"Bodrum district of MuÄla province (02:06h), en route to Kos",1
"Bodrum district of MuÄla province (04:13h), en route to Kos",1
"sailed from Misrata in Libya, but after 6-7 hours their boat began to deflate and some people fell into the water",1
"Bicske, west of Budapest, Hungary",1
Just off the coast of Agathosini,1
"In the desert after Ash Shamaliyah, Sudan",1
Strait of Gibraltar,1
"main road near Szeged, Hungary",1
"Cave on the coast of Melilla, Spain",1
"Rio Grande, ejido Centinela, Coahuila (not clear Mexican or US authorities)",1
Near Farmakonisi,1
"Off the coast of Izmirâs Seferihisar district, en route to Samos",1
Off the coast of TÃ¼rkiyeâs southwestern DatÃ§a district. En route to Kos,1
18 nautical miles from the Libyan coast,1
"Altinkoy region in Izmir province's Cesme district, en route to Chios",1
"Entrance to Eurotunnel in Calais, France",1
"Syrian/Turkish border, Bab Al-Hawa border crossing",1
"Brownsville Ship Channel, Cameron County, Texas",1
"Near Skopje, Macedonia",1
"Pcinja, Veles, Macedonia",1
Off cost of Libya (3 nautical miles off Guarabouli),1
Aegean Sea,1
"Bodies found on coast near Tripoli, Libya",1
40 miles off the coast of Libya,1
"Just off the coast of Garabulli, Libya",1
"30 miles off the coast of Tripoli, Libya",1
"off the coast of Kafr el-Sheikh governorate, Egypt",1
"Off the Libyan coast, northeast of Tripoli",1
Between Libya and Malta,1
South of Sicily,1
"Abandoned airfield outside Downham Market, England, UK",1
"60 miles off the coast of Al Khums, Libya",1
50 miles off Libyan coast,1
"Dead body found shipping container in Tilbury docks, Essex, UK",1
"Off shores of al-Qarbouli, 50km east of Tripoli",1
Central Med off the coast of Italy,1
"20 miles east of Hollywood Beach, Florida",1
Unspecified location between North Africa and Italy.,1
Unspecified location between North Africa and Italy. Body brought to Calabria.,1
"Hillsboro Beach, Florida",1
Tunisian sea near maritime border with Libya,1
300 Miles SE of Malta,1
"Off coast of Alexandria, Egypt",1
